Key,Id,English(en),Vietnamese(vi)
building_animal_barn,1001,Animal Barn,Chuồng gia súc
building_big_chest,1002,Big Chest,Rương lớn
building_chest_medium,1003,Medium Chest,Rương vừa
building_chicken_coop,1004,Animal Barn Upgrade,Nâng cấp chuồng gia súc
building_feed_trough,1005,Feed Trough,Máng ăn
building_fence_end,1006,Fence End,Đầu hàng rào
building_fence_gate,1007,Fence Gate,Cổng rào
building_fence_mid,1008,Fence Middle,Thân hàng rào
building_upgrade_farm_lv1,1009,Farm Upgrade,Nâng cấp nông trại
building_well,1010,Well,Giếng nước
entity_chicken,1011,Chicken,Gà
item_egg,1012,Egg,Trứng
fruit_apple,2001,Apple,Táo
fruit_avocado,2002,Avocado,Bơ
fruit_carrot,2003,Carrot,Cà rốt
fruit_wheat,2004,Wheat,Lúa mì
fruit_garlic,2005,Garlic,Tỏi
fruit_lemon,2006,Lemon,Chanh
fruit_mango,2007,Mango,Xoài
fruit_onion,2008,Onion,Hành tây
fruit_orange,2009,Orange,Cam
fruit_pear,2010,Pear,Lê
fruit_pineapple,2011,Pineapple,Dứa
fruit_potato,2012,Potato,Khoai tây
fruit_pumpkin,2013,Pumpkin,Bí ngô
fruit_radish,2014,Radish,Củ cải
fruit_tomato,2015,Tomato,Cà chua
fruit_watermelon,2016,Watermelon,Dưa hấu
seed_apple,4001,Apple Seed,Hạt giống Táo
seed_avocado,4002,Avocado Seed,Hạt giống Bơ
seed_carrot,4003,Carrot Seed,Hạt giống Cà rốt
seed_garlic,4004,Garlic Seed,Hạt giống Tỏi
seed_lemon,4005,Lemon Seed,Hạt giống Chanh
seed_mango,4006,Mango Seed,Hạt giống Xoài
seed_onion,4007,Onion Seed,Hạt giống Hành tây
seed_orange,4008,Orange Seed,Hạt giống Cam
seed_pear,4009,Pear Seed,Hạt giống Lê
seed_pineapple,4010,Pineapple Seed,Hạt giống Dứa
seed_potato,4011,Potato Seed,Hạt giống Khoai tây
seed_pumpkin,4012,Pumpkin Seed,Hạt giống Bí ngô
seed_radish,4013,Radish Seed,Hạt giống Củ cải
seed_tomato,4014,Tomato Seed,Hạt giống Cà chua
seed_watermelon,4015,Watermelon Seed,Hạt giống Dưa hấu
seed_wheat,4016,Wheat Seed,Hạt giống Lúa mì
material_forest_wood,5001,Forest Wood,Gỗ rừng
material_rock,5002,Rock,Đá
material_wood,5003,Wood,Gỗ
speed_fertilizer,5004,Fertilizer,Phân bón
speed_watering_can,5005,Watering Can,Bình tưới nước
tool_axe_1,5006,Axe 1,Rìu 1
tool_axe,5007,Axe,Rìu
tool_fishing_pole,5008,Fishing Pole,Cần câu
tool_hammer_1,5009,Hammer 1,Búa 1
tool_hammer,5010,Hammer,Búa
tool_plow_1,5011,Plow 1,Cày 1
tool_plow,5012,Plow,Cày
currency_money,5013,Money,Tiền
item_hat,6001,Lost Hat,Chiếc mũ bị bỏ lại
ui_load_game,9001,Load Game,Tải bản lưu
ui_screen,9201,Screen,Màn hình
merchant_wallet,9301,Merchant Wallet,Ví thương nhân
in_stock,9302,In Stock,Trong kho
total,9303,Total,Tổng
total_earnings,9304,Total Earnings,Tổng thu nhập
inventory_items,9305,Inventory,Túi đồ
title_chest,9306,Chest,Rương
action_sit,9307,[E] Take a seat,[E] Ngồi xuống
ui_play,9401,Play,Chơi
ui_settings,9402,Settings,Cài đặt
ui_quit,9403,Quit,Thoát
ui_audio,9404,Audio,Âm thanh
ui_graphics,9405,Graphics,Đồ họa
ui_control,9406,Control,Điều khiển
ui_music,9407,Music,Nhạc
ui_sensitivity,9408,Sensitivity,Độ nhạy
ui_invert,9409,Invert,Đảo ngược
ui_language,9410,Language,Ngôn ngữ
