Key,Id,English(en),Vietnamese(vi)
"NPC_Barnaby_Greeting",1,"Ahoy young man! The sea breeze is great today. Are you the new guy moving into the old farm?","Ahoy chàng trai trẻ! Gió biển hôm nay tuyệt lắm. Cậu là người mới dọn đến nông trại cũ à?"
"NPC_Barnaby_Trade",2,"Caught any fresh fish today? Bring them here, I'll buy them for a good price!","Hôm nay câu được mẻ cá nào tươi không? Mang ra đây ta thu mua với giá tốt cho!"
"NPC_Barnaby_Farewell",3,"Smooth sailing!","Thuận buồm xuôi gió nhé!"
"NPC_Gareth_Greeting",4,"Hello. My shop sells all kinds of tools here. If you need anything for farming, just take a look.","Chào cậu. Cửa hàng tôi bán đủ loại đồ nghề ở đây. Cần gì để làm nông thì cứ xem thử."
"NPC_Gareth_Trade",5,"Do you need to buy a hoe, an axe, or a watering can? Choose what you need and bring it here to pay.","Cậu cần mua cuốc, rìu hay bình tưới nước? Chọn đi rồi mang ra đây thanh toán."
"NPC_Gareth_Farewell",6,"Remember to oil them regularly, durability depends on the user.","Nhớ tra dầu mỡ thường xuyên, đồ bền tại người."
"NPC_Mason_Greeting",7,"Good wood, hard stone. Your farm will definitely need a lot of repairs. I'm Mason.","Gỗ tốt, đá cứng. Nông trại nhà cậu chắc chắn sẽ cần tu sửa nhiều đấy. Tôi là Mason."
"NPC_Mason_Trade",8,"Do you need wood or boulders? I have enough materials to build a whole new farm.","Cậu cần gỗ hay đá tảng? Tôi có đủ vật liệu để dựng cả một trang trại mới."
"NPC_Mason_Farewell",9,"Just call me if you need to expand your barns.","Cứ gọi tôi nếu cần mở rộng chuồng trại."
"NPC_Flora_Greeting",10,"Hello! The weather is beautiful for planting seeds today. I'm Flora, nice to meet you!","Chào cậu! Hôm nay thời tiết thật đẹp để gieo hạt. Tôi là Flora, rất vui được gặp!"
"NPC_Flora_Trade",11,"Do you want to buy wheat seeds or apple saplings? I always have the best ones available.","Cậu muốn mua hạt giống lúa mì hay mầm cây táo nào? Tôi luôn có sẵn những loại tốt nhất."
"NPC_Flora_Farewell",12,"Remember to water them regularly!","Nhớ tưới nước đều đặn cho chúng nhé!"
NPC_Thomas_Greeting1,13,"Ah, you must be Richard's kid! Welcome to our little town. I'm Thomas, the village head.","Ah, cháu hẳn là con của Richard! Chào mừng đến với thị trấn nhỏ của chúng ta. Ta là Thomas, trưởng làng ở đây."
NPC_Thomas_Greeting2,14,"A thriving farm means a thriving town! If you need any advice, just ask the locals.","Một nông trại trù phú sẽ giúp thị trấn này phát triển! Nếu cần lời khuyên gì, cháu cứ hỏi người dân ở đây nhé."
NPC_Thomas_BusInfo,15,"By the way, the town is quite large. You can use the bus stations to travel around quickly.","À này, thị trấn của chúng ta khá rộng đấy. Cháu có thể sử dụng các trạm xe buýt để di chuyển xung quanh cho nhanh."
