Key,Id,English(en),Vietnamese(vi)
"Fish_ClimbingPerch",1111218905088,"Climbing Perch","Cá Rô Đồng"
"Fish_Carp",1111244070912,"Carp","Cá Chép"
"Fish_Catfish",1111244070913,"Catfish","Cá Trê"
"Fish_SilverCarp",1111244070914,"Silver Carp","Cá Mè"
"Fish_CrucianCarp",1111248265216,"Crucian Carp","Cá Diếc"
"Fish_Snakehead",1111248265217,"Snakehead Fish","Cá Lóc Nhỏ"
"Fish_YoungSailfish",1111248265218,"Young Sailfish","Cá Cờ Non"
"Fish_StreamFish",1111248265219,"Stream Fish","Cá Suối"
"Fish_Hemibagrus",1111248265220,"Hemibagrus Catfish","Cá Lăng"
"Fish_MountainSalmon",1111248265221,"Mountain Salmon","Cá Hồi Núi"
"Fish_BlackCarp",1111248265222,"Black Carp","Cá Trắm Đen"
"Fish_Eel",1111248265223,"Eel","Cá Chình"
"Fish_GiantCatfish",1111248265224,"Giant Catfish","Cá Nheo"
"Fish_RiverSeahorse",1111248265225,"River Seahorse","Cá Ngựa Sông"
"Fish_Redtail",1111248265226,"Redtail Fish","Cá Đuôi Đỏ"
"Fish_BlackGold",1111248265227,"Black Gold Fish","Cá Hắc Kim"
"Fish_Moonlight",1111248265228,"Moonlight Fish","Cá Ánh Trăng"
"Fish_RoyalKoi",1111248265229,"Royal Koi","Cá Koi Hoàng Gia"
"Fish_BlueIce",1111248265230,"Blue Ice Fish","Cá Băng Lam"
"Fish_RiverTiger",1111248265231,"River Tiger Fish","Cá Hổ Sông"
"Fish_OneEyed",1111248265232,"One-Eyed Fish","Cá Độc Nhãn"
"Fish_PhantomLake",1111248265233,"Phantom Lake Fish","Cá Ma Hồ"
"Fish_AzureDragon",1111248265234,"Azure Dragon Fish","Cá Rồng Lam"
"Fish_Galaxy",1111248265235,"Galaxy Fish","Cá Thiên Hà"
"Fish_Starshine",1111248265236,"Starshine Fish","Cá Ánh Sao"
"Fish_Shadow",1111248265237,"Shadow Fish","Cá Bóng Tối"
"Fish_Leviathan",1111248265238,"Deep Lake Leviathan","Leviathan Hồ Sâu"
"Fish_DragonKing",1111248265239,"Dragon King Fish","Cá Long Vương"
"Fish_ForestSpirit",1111248265240,"Forest Spirit Fish","Cá Hồn Rừng"
"Fish_AncientMoon",1111248265241,"Ancient Moon Fish","Cá Mặt Trăng Cổ Đại"
"Fish_Mythic",1111248265242,"Mythic Fish","Cá Thần Thoại"
