Key,Id,English(en),Vietnamese(vi)
Quest_Title_Q1,83,"The Journey Home","Hành Trình Trở Về"
Quest_Title_Q2,84,"Father's Tools","Nông Cụ Của Cha"
Quest_Title_Q3,85,"The First Sowing","Lần Gieo Hạt Đầu Tiên"
Quest_Title_Q4,86,"Garden Cleanup","Dọn Dẹp Khu Vườn"
Quest_Title_Q5,87,"The First Harvest","Vụ Mùa Đầu Tiên"
Quest_Title_Q6,88,"Planting Fruit Trees","Trồng Cây Ăn Quả"
Quest_Title_Q7,89,"Apples and Wood","Thu Hoạch Táo Và Gỗ"
Quest_Title_Q8,90,"Garden Expansion","Mở Rộng Khu Vườn"
Quest_Title_Q9,91,"Your First Sale","Đơn Hàng Đầu Tiên"
Quest_Title_Q10,92,"Unlocking the Well","Mở Khóa Giếng Nước"
Quest_Title_Q11,93,"Gone Fishing","Đi Câu Cá"
Quest_Title_Q12,94,"The Animal Barn","Mở Khóa Chuồng Vật Nuôi"
Quest_Title_Q13,99,"Feeding Trough and Fences","Máng Ăn Và Hàng Rào"
Quest_Title_MissingChild,106,"The Missing Child","Đứa Trẻ Mất Tích"
Quest_Desc_Q1,200,"Arthur said I should take the bus to reach the farm my father left for me.","Arthur bảo tôi nên bắt xe buýt để đến nông trại mà cha tôi để lại."
Quest_Action_Desc_Q1,201,"Go to the bus stop in town.","Đi đến trạm xe buýt ở thị trấn."
Quest_Desc_Q2,202,"I need to find the old tools in the storage shed that my father, Richard, left behind.","Tôi cần tìm những món nông cụ cũ trong nhà kho mà cha tôi, Richard, đã để lại."
Quest_Action_Desc_Q2,203,"Search the chest in the shed.","Tìm trong rương ở nhà kho."
Quest_Desc_Q3,204,"I should start by tilling the soil and planting the wheat seeds.","Tôi nên bắt đầu bằng việc cuốc đất và gieo hạt giống lúa mì."
Quest_Action_Desc_Q3,205,"Plant 10 wheat seeds.","Gieo 10 hạt giống lúa mì."
Quest_Desc_Q4,206,"The garden is a mess. I need to clear the scattered branches and rocks with my bare hands.","Khu vườn đang rất bừa bộn. Tôi cần dùng tay dọn dẹp các cành cây và đất đá vương vãi."
Quest_Action_Desc_Q4,207,"Clear branches and rocks.","Dọn dẹp cành cây và đất đá."
Quest_Desc_Q5,208,"I need to patiently wait for the wheat to grow, then harvest it.","Tôi cần kiên nhẫn chờ đợi lúa mì lớn lên, sau đó tiến hành thu hoạch."
Quest_Action_Desc_Q5,209,"Harvest the wheat.","Thu hoạch lúa mì."
Quest_Desc_Q6,210,"Arthur gave me some fruit tree seeds. I should plant them in the garden.","Arthur đã cho tôi vài hạt giống cây ăn quả. Tôi nên đem chúng đi trồng trong vườn."
Quest_Action_Desc_Q6,211,"Plant fruit tree seeds.","Trồng hạt giống cây ăn quả."
Quest_Desc_Q7,212,"I need to wait for the apple tree to mature to harvest the fruit, and use the axe to chop trees for wood.","Tôi cần đợi cây táo trưởng thành để thu hoạch quả, và dùng rìu chặt cây để lấy gỗ."
Quest_Action_Desc_Q7,213,"Harvest apples and collect wood.","Thu hoạch táo và thu thập gỗ."
Quest_Desc_Q8,214,"With the wood and stone gathered, I can go to the Workshop to upgrade and expand the garden space.","Với lượng gỗ và đá đã thu thập, tôi có thể đến Nhà xưởng để nâng cấp và mở rộng không gian khu vườn."
Quest_Action_Desc_Q8,215,"Expand the garden at the Workshop.","Mở rộng khu vườn tại Nhà xưởng."
Quest_Desc_Q9,216,"I can sell my harvested crops to the merchant to earn some money.","Tôi có thể mang nông sản đã thu hoạch đi bán cho thương nhân để kiếm chút tiền."
Quest_Action_Desc_Q9,217,"Sell items to the merchant.","Bán vật phẩm cho thương nhân."
