Key,Id,English(en),Vietnamese(vi)
Story_Mother_MissingChild_Offer1,102,"Please help me! My child has been missing since this morning, and I can't find him anywhere.","Làm ơn giúp tôi với! Con tôi đã biến mất từ sáng nay, tôi không thể tìm thấy thằng bé ở đâu cả."
Story_Mother_MissingChild_Offer2,103,"He kept talking about the forest yesterday. I have a bad feeling about this.","Hôm qua thằng bé cứ nhắc mãi về khu rừng. Tôi có linh cảm không lành về chuyện này."
Story_Mother_MissingChild_Offer3,104,"Could you go to the forest and see if there are any traces of him?","Cậu có thể đến khu rừng và xem có dấu vết gì của thằng bé không?"
Story_Mother_MissingChild_InProgress1,105,"Please head to the forest and look for him. Just any clue would help.","Làm ơn hãy đến khu rừng và tìm thằng bé giúp tôi. Bất cứ manh mối nào cũng được."
Story_Mother_MissingChild_Complete1,107,"You found his hat in the forest? Oh no... this means he really went in there.","Cậu tìm thấy chiếc mũ của thằng bé ở trong rừng sao? Ôi không... điều này có nghĩa là nó thực sự đã đi vào đó rồi."
Story_Mother_MissingChild_Complete2,108,"Thank you for finding this trace. We need to figure out where he went next.","Cảm ơn cậu đã tìm được dấu vết này. Chúng ta cần phải tìm hiểu xem thằng bé đã đi đâu tiếp theo."
Quest_Homeless_Wood_Offer1,226,"Oh, it's you... I didn't expect you to actually make it into the forest. I suppose I was a bit too harsh before.","Ồ, là cậu... Tôi không ngờ cậu thực sự vào được khu rừng này đấy. Có vẻ tôi đã cư xử hơi cọc cằn trước đây."
Quest_Homeless_Wood_Offer2,227,"Since you're here and clearly capable, could you do me a favor? It gets freezing at night. Can you chop some sturdy forest wood for me?","Vì cậu đã đến được đây và rõ ràng là có thực lực, cậu giúp tôi một việc được không? Đêm xuống trời lạnh cóng. Cậu chặt giúp tôi ít gỗ rừng chắc chắn nhé?"
Quest_Homeless_Wood_InProgress1,228,"Did you manage to get that forest wood? I'm really counting on you now.","Cậu kiếm được gỗ rừng chưa? Giờ tôi chỉ trông cậy vào cậu thôi đấy."
Quest_Homeless_Wood_Complete1,229,"Excellent wood! You are much more capable than you look. Thanks, kid, this fire will save my life tonight.","Gỗ tốt lắm! Cậu giỏi hơn vẻ bề ngoài nhiều đấy. Cảm ơn nhé nhóc, ngọn lửa này sẽ cứu mạng tôi đêm nay."
Quest_Homeless_Fish_Offer1,233,"Now that the fire is burning nicely, my stomach is starting to complain. The stream deeper in this forest holds some very special fish.","Giờ lửa đã ấm rồi, bụng tôi lại bắt đầu biểu tình đây. Dòng suối sâu bên trong khu rừng này có một loài cá rất đặc biệt."
Quest_Homeless_Fish_Offer2,234,"With your skills, do you think you could catch a few of those forest fish for a decent meal?","Với tài năng của cậu, liệu cậu có thể câu vài con cá rừng đó để chúng ta có một bữa tử tế không?"
Quest_Homeless_Fish_InProgress1,235,"The fish in that lake are quite crafty. Take your time, I'll keep the fire ready.","Lũ cá trong hồ đó ranh mãnh lắm đấy. Cứ từ từ nhé, tôi sẽ giữ cho lửa luôn sẵn sàng."
Quest_Homeless_Fish_Complete1,236,"Look at the size of these! Roasted over forest wood, this is going to be the best meal I've had in months. Thank you.","Nhìn kích thước của chúng xem! Nướng trên lửa gỗ rừng, đây sẽ là bữa ăn ngon nhất của tôi trong nhiều tháng qua đấy. Cảm ơn cậu."
